Chromosome,Start,End,GeneID,Description,Strand
chr0,8490462,8491323,Niat3g_60498,Unknown protein,-
chr0,8494302,8495976,Niat3g_60503,Transcription factor org3,+
chr0,8498493,8510314,Niat3g_60504,Ap-4 complex subunit mu,+
chr0,8657351,8658489,Niat3g_60507,AT-hook motif nuclear-localized protein,+
chr0,9105928,9115771,Niat3g_60509,Ubiquitin carboxyl-terminal hydrolase 16,-
chr0,9290020,9290567,Niat3g_60510,DNA/RNA polymerases superfamily protein,-
chr0,9300794,9305173,Niat3g_60511,Adenine nucleotide alpha hydrolases-like superfamily protein isoform 1,+
chr0,9310710,9312015,Niat3g_60512,Peptidase A1 domain-containing protein,+
chr0,9312594,9323019,Niat3g_60513,Atpase family aaa domain-containing protein,-
chr0,9482841,9483081,Niat3g_60514,"30S ribosomal protein S2, chloroplastic",+
chr0,9520151,9521426,Niat3g_60516,Unknown protein,-
chr0,9568245,9582141,Niat3g_60517,Rho gtpase-activating protein ren1,-
chr0,9691213,9691819,Niat3g_60518,Unknown protein,-
chr0,9863837,9867615,Niat3g_60520,Inactive serine/threonine-protein kinase roco10,+
chr0,9869439,9884879,Niat3g_60521,Glucose-6-phosphate isomerase,-
chr0,9963938,9970375,Niat3g_60522,Glucose-6-phosphate isomerase,-
chr0,10038971,10042545,Niat3g_60523,chaperone protein DnaJ-like,+
chr0,10043281,10046889,Niat3g_60524,Pentatricopeptide repeat-containing protein At5g18475,-
chr0,10057889,10060824,Niat3g_60525,14-3-3 protein,+
chr0,10062249,10068766,Niat3g_60526,"protein CutA, chloroplastic-like",-
chr0,10063923,10065764,Niat3g_60527,DUF659 domain-containing protein,+
chr0,10180582,10182483,Niat3g_60529,Cyclin-d2-1,+
chr0,10363029,10364103,Niat3g_60530,transcription factor bHLH143-like,+
chr0,10676013,10677744,Niat3g_60532,F-box/kelch-repeat protein SKIP11,+
chr0,10728713,10748443,Niat3g_60534,WD and tetratricopeptide repeats protein 1-like isoform X1,+
chr0,10755604,10756380,Niat3g_60535,Ferredoxin/ferredoxin--NADP reductase,+
chr0,10760372,10760729,Niat3g_60536,"L-aspartate oxidase, chloroplastic-like isoform X2",-
chr0,10935675,10937157,Niat3g_60538,Serinethreonine-protein kinase-like protein,+
chr0,11109919,11110836,Niat3g_60541,Zinc-finger homeodomain protein 2,-
chr0,11301608,11303941,Niat3g_60542,Transport inhibitor response 1-like protein,+
chr0,11369383,11371775,Niat3g_60546,UPF0483 protein AGAP003155-like,-
chr0,11451175,11455185,Niat3g_60547,Bet1-like protein,+
chr0,11459037,11459585,Niat3g_60550,Unknown protein,-
chr0,11468630,11471108,Niat3g_60551,40S ribosomal protein S21,+
chr0,11609835,11610534,Niat3g_60556,Unknown protein,-
chr0,11677304,11677807,Niat3g_60558,Reverse transcriptase domain-containing protein,+
chr0,11768956,11772527,Niat3g_60560,Protein DETOXIFICATION,+
chr0,11775221,11780209,Niat3g_60561,Protein DETOXIFICATION,+
chr0,11856170,11857151,Niat3g_60562,ENTH domain-containing protein,-
chr0,11979734,11980907,Niat3g_60564,Ring-h2 finger protein atl11,-
chr0,12177878,12179636,Niat3g_60565,Transcription factor bhlh96,+
chr0,12213304,12218962,Niat3g_60566,BCNT-C domain-containing protein,+
chr0,12219372,12220675,Niat3g_60567,Ring-h2 finger protein atl54,-
chr0,12355748,12358170,Niat3g_60570,Unknown protein,+
chr0,12369676,12371769,Niat3g_60571,Unknown protein,+
chr0,12409460,12413459,Niat3g_60572,centlein isoform X1,+
chr0,12417874,12420883,Niat3g_60573,"28 kDa ribonucleoprotein, chloroplastic",+
chr0,12474848,12475846,Niat3g_60574,Blue copper protein,+
chr0,12664595,12664994,Niat3g_60577,Unknown protein,-
chr0,12667154,12667460,Niat3g_60578,Unknown protein,-
chr0,12677810,12691291,Niat3g_60579,protein FAM91A1-like isoform X1,-
chr0,12708616,12717220,Niat3g_60580,Queuine tRNA-ribosyltransferase catalytic subunit 1,+
chr0,12758381,12759831,Niat3g_60581,Homeobox-leucine zipper protein athb-5,+
chr0,13061218,13061692,Niat3g_60585,Protein ovarian tumor locus like,+
chr0,13201688,13207623,Niat3g_60586,O-fucosyltransferase,+
chr0,13210463,13213924,Niat3g_60587,"proteinaceous RNase P 1, chloroplastic/mitochondrial-like",-
chr0,13214001,13218450,Niat3g_60588,"Thylakoid lumenal 29 kDa protein, chloroplastic",+
chr0,13219370,13230548,Niat3g_60589,"serine--tRNA ligase, mitochondrial isoform X2",-
chr0,13363419,13363830,Niat3g_60592,Histone H3,+
chr0,13368549,13369838,Niat3g_60594,Mediator-associated protein 1,+
chr0,13375489,13375723,Niat3g_60595,Unknown protein,-
chr0,13378183,13384568,Niat3g_60596,Cytochrome c oxidase subunit 6b-1,-
chr0,13546815,13547769,Niat3g_60618,Vq motif-containing protein 9,+
chr0,13550224,13551081,Niat3g_60619,Unknown protein,+
chr0,13568737,13569148,Niat3g_60620,Unknown protein,-
chr0,13589650,13590001,Niat3g_60624,Unknown protein,-
chr0,13599710,13600016,Niat3g_60626,Unknown protein,-
chr0,13610259,13610490,Niat3g_60627,myosin-6-like,-
chr0,13625666,13628326,Niat3g_60629,14-3-3 protein 3,-
chr0,13745888,13746182,Niat3g_60642,sugar transporter ERD6-like 4,-
chr0,13749530,13752827,Niat3g_60645,Serine/threonine-protein kinase,+
chr0,13760998,13778292,Niat3g_60647,F-box protein,-
chr0,13766775,13767984,Niat3g_60648,Reverse transcriptase domain-containing protein,+
chr0,13919867,13923312,Niat3g_60655,Phospho-2-dehydro-3-deoxyheptonate aldolase,-
chr0,14007065,14007998,Niat3g_60658,Protein EXORDIUM-like 2,-
chr0,14231374,14232445,Niat3g_60659,Protein EXORDIUM,-
chr0,14259069,14260399,Niat3g_60660,Protein EXORDIUM,+
chr0,14309355,14311057,Niat3g_60661,Protein EXORDIUM,-
chr0,14436209,14438038,Niat3g_60663,Protein EXORDIUM,-
chr0,14621839,14622775,Niat3g_60665,Protein EXORDIUM,+
chr0,14864731,14866273,Niat3g_60667,Glycosyltransferase,+
chr0,15139955,15140756,Niat3g_60689,Glycosyltransferase,+
chr0,15178323,15188515,Niat3g_60692,RNase H domain-containing protein,+
chr0,15184012,15185158,Niat3g_60694,"myosin-2 heavy chain, non muscle-like",-
chr0,15335535,15337069,Niat3g_60696,Glycosyltransferase,+
chr0,15393957,15395100,Niat3g_60697,Glycosyltransferase,+
chr0,15395153,15395810,Niat3g_60699,Glycosyltransferase,+
chr0,15403631,15404043,Niat3g_60700,Unknown protein,+
chr0,15404791,15407476,Niat3g_60701,Unknown protein,+
chr0,15792462,15793032,Niat3g_60703,Glycosyltransferase,+
chr0,15940583,15941621,Niat3g_60707,Protein transparent testa 1,-
chr0,15958854,15964008,Niat3g_60708,RNA-binding protein,-
chr0,16197677,16198007,Niat3g_60715,Unknown protein,+
chr0,16229746,16230079,Niat3g_60717,Unknown protein,-
chr0,16273955,16280178,Niat3g_60718,Methyltransferase,+
chr0,16353414,16354611,Niat3g_60719,PORR domain-containing protein,+
chr0,16357848,16360127,Niat3g_60720,"Outer arm dynein light chain 1 protein, putative isoform 1",-
chr0,16616334,16623970,Niat3g_60724,Methyl-cpg-binding domain-containing protein 8,+
chr0,16676259,16679109,Niat3g_60727,zinc finger MYM-type protein 1-like,-
chr0,16715309,16718798,Niat3g_60728,5'-adenylylsulfate reductase-like 4,+
chr0,16732380,16732674,Niat3g_60730,Unknown protein,+
chr0,16766148,16770604,Niat3g_60731,14-3-3-like protein,+
chr0,16782087,16785614,Niat3g_60733,AB hydrolase-1 domain-containing protein,-
chr0,16825646,16834842,Niat3g_60740,Phosphatase 2C (PP2C)-like protein,-
chr0,16853226,16857459,Niat3g_60741,Cryptochrome-1,-
chr0,16872039,16873494,Niat3g_60745,Ribulose bisphosphate carboxylase large chain,-
chr0,16874286,16874934,Niat3g_60746,"ATP synthase subunit beta, chloroplastic",+
chr0,16874999,16875782,Niat3g_60747,"ATP synthase subunit beta, chloroplastic",+
chr0,16878736,16879492,Niat3g_60749,"NAD(P)H-quinone oxidoreductase subunit K, chloroplastic",+
chr0,16887555,16889721,Niat3g_60752,Photosystem I P700 chlorophyll a apoprotein A1,+
chr0,16991798,16993505,Niat3g_60753,Transcription factor myb39,-
chr0,17067877,17068186,Niat3g_60755,"ATP synthase subunit alpha, chloroplastic",+
chr0,17069352,17069733,Niat3g_60756,classical arabinogalactan protein 25-like,-
chr0,17076142,17077331,Niat3g_60758,Signal peptidase complex-like protein dtm1,+
chr0,17079226,17081530,Niat3g_60757,Pentatricopeptide repeat-containing protein At2g13600,-
chr0,17109143,17110151,Niat3g_60759,Multifunctional methyltransferase subunit trm112-like protein,+
chr0,17110569,17116269,Niat3g_60760,TMEM135_C_rich domain-containing protein,-
chr0,17121681,17128784,Niat3g_60761,Mitochondrial adenine nucleotide transporter like,-
chr0,17146123,17153165,Niat3g_60762,synaptonemal complex protein 1-like,+
chr0,17183399,17197195,Niat3g_60763,nucleolar complex protein 3 homolog,+
chr0,17251240,17252303,Niat3g_60765,WW domain-containing protein,-
chr0,17280623,17281007,Niat3g_60768,DUF4216 domain-containing protein,-
chr0,17281343,17281850,Niat3g_60769,CRIB domain-containing protein,-
chr0,17281925,17283296,Niat3g_60770,Transpos_assoc domain-containing protein,-
chr0,17283539,17283821,Niat3g_60771,Transpos_assoc domain-containing protein,-
chr0,17329115,17332710,Niat3g_60772,Sugar transport protein 5,-
chr0,17337970,17338529,Niat3g_60775,Protein kinase domain-containing protein,-
chr0,17356840,17357299,Niat3g_60778,Unknown protein,+
chr0,17475675,17484540,Niat3g_60782,serine/arginine-rich splicing factor SC35-like,-
chr0,17487789,17492939,Niat3g_60785,serine/arginine-rich splicing factor SC35-like,-
chr0,17499354,17499660,Niat3g_60786,Retrovirus-related Pol polyprotein from transposon TNT 1-94,+
chr0,17505359,17505673,Niat3g_60788,Leucine-rich repeat receptor protein kinase EMS1,+
chr0,17505935,17507846,Niat3g_60789,Protein kinase domain-containing protein,+
chr0,17701834,17703757,Niat3g_60792,Annexin,+
chr0,17704411,17709526,Niat3g_60793,PUM-HD domain-containing protein,-
chr0,17939485,17941898,Niat3g_60797,DUF4057 domain-containing protein,-
chr0,18041353,18044568,Niat3g_60798,MFS domain-containing protein,-
chr0,18340362,18341772,Niat3g_60799,VQ domain-containing protein,-
chr0,18656842,18658920,Niat3g_60800,inactive TPR repeat-containing thioredoxin TTL3-like,+
chr0,18935783,18937126,Niat3g_60802,eukaryotic translation initiation factor 5B,-
chr0,19006718,19007753,Niat3g_60805,F-box protein At1g78100,-
chr0,19112091,19112658,Niat3g_60806,zf-CCHC_4 domain-containing protein,-
chr0,19250289,19252705,Niat3g_60807,Trehalose 6-phosphate phosphatase,-
chr0,19372188,19372512,Niat3g_60808,Unknown protein,-
chr0,19374578,19389636,Niat3g_60809,endoplasmic reticulum-Golgi intermediate compartment protein 3-like,+
chr0,19396650,19397748,Niat3g_60810,Ethylene-responsive transcription factor rap2-4,-
chr0,19639328,19646305,Niat3g_60812,Compass-like h3k4 histone methylase component wdr5a,-
chr0,19756912,19757280,Niat3g_60813,Integrase catalytic domain-containing protein,+
chr0,19825476,19826431,Niat3g_60816,Fn3_like domain-containing protein,+
chr0,19873022,19876107,Niat3g_60817,2-oxoglutarate-dependent dioxygenase AOP3-like,-
chr0,20125346,20132548,Niat3g_60823,DNA-directed RNA polymerases II and V subunit 8A-like,+
chr0,20133459,20138771,Niat3g_60824,Subtilisin-like protease,-
chr0,20178395,20179160,Niat3g_60826,Pentatricopeptide repeat-containing protein,-
chr0,20179162,20180137,Niat3g_60827,Pentatricopeptide repeat-containing protein,-
chr0,20180874,20181326,Niat3g_60828,Unknown protein,-
chr0,20346162,20347455,Niat3g_60832,Protein kinase domain-containing protein,+
chr0,20428621,20435548,Niat3g_60836,Compass-like h3k4 histone methylase component wdr5a,+
chr0,20746754,20751306,Niat3g_60837,Fn3_like domain-containing protein,+
chr0,20770188,20776507,Niat3g_60838,Glycosyl hydrolase family protein,+
chr0,20853784,20859900,Niat3g_60840,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 3,+
chr0,20869445,20869859,Niat3g_60841,Unknown protein,-
chr0,20880274,20886915,Niat3g_60843,random slug protein 5-like isoform X1,+
chr0,20888481,20890844,Niat3g_60845,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase-like",-
chr0,20990020,20994659,Niat3g_60846,Cellulose synthase,+
chr0,21021655,21022562,Niat3g_60848,FCS-Like Zinc finger 6,-
chr0,21220806,21222759,Niat3g_60852,non-specific lipid-transfer protein-like protein At2g13820,+
chr0,21284387,21299339,Niat3g_60853,Acetyl-coa carboxylase 1,+
chr0,21434847,21435108,Niat3g_60854,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4",-
chr0,21435167,21435584,Niat3g_60855,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4",-
chr0,21441932,21449688,Niat3g_60856,tRNA modification GTPase MnmE,-
chr0,21480171,21483488,Niat3g_60857,Sulfate transporter 1.3,-
chr0,21796653,21802250,Niat3g_60858,Sulfate transporter 2.1,+
chr0,22582868,22584483,Niat3g_60865,SAM_MT_RSMB_NOP domain-containing protein,-
chr0,22762082,22763812,Niat3g_60868,Unknown protein,+
chr0,23130462,23131414,Niat3g_60870,Heavy metal-associated isoprenylated plant protein,-
chr0,23175278,23181818,Niat3g_60872,aspartic proteinase-like protein 1 isoform X2,-
chr0,23264595,23266617,Niat3g_60873,60S ribosomal protein L30-like,+
chr0,23284499,23285464,Niat3g_60874,Ricin B-type lectin domain-containing protein,+
chr0,23521636,23527155,Niat3g_60881,Membrane-anchored ubiquitin-fold protein,+
chr0,23527608,23539913,Niat3g_60882,C2 NT-type domain-containing protein,-
chr0,23640092,23640691,Niat3g_60883,Unknown protein,-
chr0,23679818,23680148,Niat3g_60885,Unknown protein,+
chr0,23933708,23936928,Niat3g_60887,F-boxlrr-repeat protein,+
chr0,24052827,24055490,Niat3g_60888,F-boxlrr-repeat protein,+
chr0,24057416,24059568,Niat3g_60889,FBD-associated F-box protein At3g49020,+
chr0,24080842,24081175,Niat3g_60893,F-box/LRR-repeat protein At5g02910-like,+
chr0,24082243,24083205,Niat3g_60894,F-box/LRR-repeat protein At5g02910-like,+
chr0,24088162,24089213,Niat3g_60895,F-box protein At5g03100,+
chr0,24091621,24135159,Niat3g_60897,DNA-directed RNA polymerase subunit,-
chr0,24165549,24167008,Niat3g_60903,FBD-associated F-box protein At3g49020,+
chr0,24186617,24200081,Niat3g_60904,F-box/LRR-repeat protein At3g26922,+
chr0,24205908,24212388,Niat3g_60905,zinc finger protein 830-like,-
chr0,24224217,24228686,Niat3g_60908,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 1, mitochondrial",+
chr0,24228856,24238262,Niat3g_60909,F-boxlrr-repeat protein,+
chr0,24233288,24235931,Niat3g_60910,Reverse transcriptase domain-containing protein,+
chr0,24239408,24239915,Niat3g_60911,E3 ubiquitin-protein ligase rha2a,-
chr0,24241879,24242710,Niat3g_60912,F-boxlrr-repeat protein,-
chr0,24246850,24249897,Niat3g_60914,F-box/LRR-repeat protein At3g26922,-
chr0,24275831,24276131,Niat3g_60916,Unknown protein,+
chr0,24442029,24444027,Niat3g_60931,F-boxlrr-repeat protein,+
chr0,24643388,24648245,Niat3g_60933,Retrovirus-related Pol polyprotein from transposon TNT 1-94,-
chr0,25030116,25037099,Niat3g_60935,Glutaredoxin like,+
chr0,25143933,25150928,Niat3g_60937,Plant/F7F23-4 protein,+
chr0,25159122,25166378,Niat3g_60938,DNA-directed RNA polymerase II protein,+
chr0,25168931,25172079,Niat3g_60940,phosphopantothenoylcysteine decarboxylase subunit VHS3-like,-
chr0,25388032,25392270,Niat3g_60941,Transcription factor tga1,+
chr0,25727792,25728482,Niat3g_60942,Unknown protein,-
chr0,25821857,25822091,Niat3g_60957,Unknown protein,+
chr0,25827419,25827671,Niat3g_60958,Unknown protein,+
chr0,25883044,25887060,Niat3g_60963,Protein rna-directed dna methylation 3,-
chr0,25927980,25928217,Niat3g_60971,Unknown protein,+
chr0,26124981,26125221,Niat3g_60991,Unknown protein,-
chr0,26132708,26132957,Niat3g_60992,Unknown protein,+
chr0,26245789,26246083,Niat3g_61019,Unknown protein,-
chr0,26248517,26249455,Niat3g_61020,Unknown protein,-
chr0,26248997,26249240,Niat3g_61021,Unknown protein,+
chr0,26251322,26251589,Niat3g_61022,Unknown protein,+
chr0,26264330,26264678,Niat3g_61025,Unknown protein,+
chr0,26271234,26271666,Niat3g_61028,Pro-Pol polyprotein,+
chr0,26274659,26274953,Niat3g_61029,Unknown protein,+
chr0,26275565,26275835,Niat3g_61030,Unknown protein,+
chr0,26275985,26276222,Niat3g_61031,Unknown protein,+
chr0,26278302,26283335,Niat3g_61033,Phosphopantothenate--cysteine ligase 2,-
chr0,26338960,26341674,Niat3g_61041,Protein epidermal patterning factor 2,-
chr0,26382426,26389509,Niat3g_61047,"Transcription termination factor mterf8, chloroplastic",-
chr0,26390141,26391029,Niat3g_61048,"Transcription termination factor mterf5, chloroplastic",-
chr0,26421241,26424181,Niat3g_61054,"Transcription termination factor mterf5, chloroplastic",-
chr0,26598330,26599485,Niat3g_61055,"Transcription termination factor mterf8, chloroplastic",+
chr0,26846883,26848059,Niat3g_61059,"Transcription termination factor mterf5, chloroplastic",+
chr0,26858174,26858768,Niat3g_61062,"Transcription termination factor mterf8, chloroplastic",+
chr0,26874423,26874678,Niat3g_61066,Unknown protein,+
chr0,26917491,26918722,Niat3g_61075,"Transcription termination factor mterf8, chloroplastic",+
